id;command_name;desc_command;for_status
1;strategic Movies plug-and-play;Tasty Wooden Chicken e-business Dynamic;YES
2;Bahamian Dollar Checking Account;transmitter ivory;NO
3;Global;withdrawal;NO
4;withdrawal mint green;Palestinian Territory Director;YES
5;zero administration Svalbard & Jan Mayen Islands 24/365;multi-state Kids;YES
6;redundant National;Investment Account;NO
7;lavender;Arizona Suriname quantifying;NO
8;Savings Account transmitter;Steel Generic Granite Chips;NO
9;Investment Account Handmade;Fiji background;YES
10;Tasty;array Marketing Ball;NO
